country,Code,ContinentCode,year,GDP per capita constant 2010 dollars,Capital investment as percent of GDP,Capital investment billion USD,Household consumption as percent of GDP,Household consumption billion USD,Labor force million people,Government spending as percent of GDP,Government spending billion USD,Tax revenue percent of GDP,Population growth percent,Happiness Index 0 (unhappy) - 10 (happy),Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP,ranking index
Hong Kong SAR,HKG,AS,2019,44195.26,18.19,66.04,69.37,251.88,3.99,10.88,39.49,,0.74,5.43,-1.67,331.8,2.92,645.01,-6.15,639.35,21.25,0.93,3.81,733
Hong Kong SAR,HKG,AS,2020,41451.29,18.98,65.48,66.34,228.85,3.91,12.75,43.97,,-0.36,5.48,-6.54,310.1,5.81,608.15,-6.68,601.5,24.13,0.99,4.41,758
Hong Kong SAR,HKG,AS,2021,44525.59,16.78,61.89,64.98,239.7,3.87,12.68,46.77,,-0.91,5.42,6.44,330.1,5.17,752.72,17.04,732.18,43.66,,4.0,790
Hong Kong SAR,HKG,AS,2022,43369.71,14.96,53.85,66.77,240.28,3.81,14.33,51.56,,-0.91,5.31,-3.48,318.6,5.06,697.59,-12.61,683.44,38.6,,,790
India,IND,AS,2017,1795.91,30.98,821.48,58.73,1557.08,475.89,10.77,285.49,11.39,1.16,4.32,6.8,2432.0,7.73,498.26,4.56,582.02,-38.17,0.67,4.31,63
India,IND,AS,2018,1891.14,32.34,874.21,59.29,1602.52,474.73,10.82,292.54,12.02,1.09,4.19,6.45,2589.0,7.65,538.64,11.93,640.3,-65.6,0.66,4.36,61
India,IND,AS,2019,1944.31,30.1,853.41,60.91,1727.2,501.04,11.0,311.99,,1.03,4.02,3.87,2689.2,6.51,529.25,-3.38,602.32,-29.76,,4.41,100
India,IND,AS,2020,1813.53,28.75,768.15,61.27,1636.93,496.93,11.61,310.24,,0.96,3.82,-5.83,2532.4,10.19,499.73,-9.14,510.24,32.73,,4.47,85
India,IND,AS,2021,1961.96,31.23,983.7,61.12,1925.31,507.7,11.19,352.38,,0.8,3.78,9.05,2761.6,7.71,677.77,29.29,760.9,-33.42,,,53
India,IND,AS,2022,2085.12,31.16,1054.73,60.55,2049.57,523.84,10.49,355.08,,0.68,4.04,7.0,2955.0,7.33,759.93,11.5,911.39,-80.43,,,51
Ireland,IRL,EU,2017,67486.27,34.57,116.29,31.8,106.98,2.35,12.32,41.45,18.25,1.09,6.98,9.01,324.4,6.71,407.07,9.63,332.97,3.4,1.26,3.51,126
Ireland,IRL,EU,2018,72339.42,28.55,110.14,30.62,118.1,2.4,12.01,46.34,18.09,1.24,6.98,8.53,352.1,5.74,473.63,9.8,363.72,24.17,1.17,3.39,146
Ireland,IRL,EU,2019,75239.3,54.95,219.45,29.26,116.84,2.45,12.02,47.98,17.7,1.37,7.02,5.44,371.3,4.95,510.65,11.85,496.64,-44.93,1.23,3.29,103
Ireland,IRL,EU,2020,79074.54,43.65,185.88,24.86,105.87,2.43,12.9,54.92,16.3,1.03,7.09,6.18,394.2,5.62,567.82,11.17,487.3,-27.41,1.23,3.1,109
Ireland,IRL,EU,2021,88966.67,24.7,124.55,23.65,119.23,2.55,12.26,61.79,17.48,0.95,7.04,13.59,447.8,6.19,677.7,14.07,479.13,72.22,,,122
Ireland,IRL,EU,2022,98561.63,28.88,152.84,22.78,120.57,2.68,11.24,59.51,,1.06,6.91,11.97,501.4,4.36,724.81,15.0,527.25,47.62,,,126
Israel,ISR,AS,2017,37953.04,22.91,82.08,53.09,190.21,4.0,22.07,79.07,24.24,1.94,7.21,4.28,330.7,4.22,104.76,4.93,97.87,13.21,4.66,6.06,53
Israel,ISR,AS,2018,38744.16,23.78,89.6,52.99,199.61,4.07,22.35,84.2,22.7,1.93,7.19,4.07,344.2,4.0,112.61,5.72,109.32,10.98,4.8,6.11,56
Israel,ISR,AS,2019,39591.37,23.33,93.9,52.36,210.71,4.13,22.06,88.8,22.11,1.91,7.14,4.16,358.5,3.8,117.92,3.68,108.86,14.75,5.14,6.13,48
Israel,ISR,AS,2020,38176.75,23.81,98.41,48.42,200.11,4.09,23.3,96.28,21.91,1.76,7.16,-1.86,351.8,4.33,114.37,-2.74,95.91,22.49,5.44,7.07,39
Israel,ISR,AS,2021,40802.14,24.78,121.08,49.16,240.17,4.23,22.1,107.96,24.62,1.61,7.36,8.61,382.1,4.32,143.92,14.57,124.59,21.09,,,24
Israel,ISR,AS,2022,42594.32,26.27,137.14,49.57,258.78,4.37,20.87,108.95,,1.97,7.47,6.46,406.8,3.48,166.59,8.26,149.43,19.21,,,2
Italy,ITA,EU,2017,31244.23,18.05,354.18,60.25,1182.03,26.1,18.83,369.41,24.68,-0.15,5.96,1.67,1891.4,11.21,602.93,5.44,546.76,53.1,1.37,4.04,18
Italy,ITA,EU,2018,31593.48,18.53,387.58,60.19,1259.09,26.16,18.88,394.97,24.24,-0.19,6.0,0.93,1908.9,10.61,655.9,2.14,605.61,53.99,1.42,4.26,59
Italy,ITA,EU,2019,32114.3,18.24,366.86,59.82,1203.08,25.91,18.62,374.48,24.58,-1.15,6.22,0.48,1918.2,9.95,635.62,1.57,568.73,66.34,1.46,4.1,125
Italy,ITA,EU,2020,29373.45,17.7,335.81,58.03,1101.01,25.13,20.67,392.11,24.76,-0.49,6.48,-8.98,1745.9,9.16,558.47,-13.51,490.18,74.5,1.53,4.27,97
Italy,ITA,EU,2021,31600.71,20.65,436.71,57.32,1211.9,25.08,19.75,417.58,25.41,-0.56,6.47,6.99,1867.9,9.5,691.25,14.01,643.09,65.31,,,135
Italy,ITA,EU,2022,32902.66,21.75,437.3,60.33,1212.88,25.48,19.46,391.24,,-0.43,6.4,3.67,1936.5,8.09,746.87,9.41,777.84,-26.66,,,120
Japan,JPN,AS,2017,35861.97,25.21,1243.3,54.61,2692.91,67.23,19.41,957.16,,-0.08,5.92,1.68,4553.5,2.82,867.41,6.62,829.95,203.17,3.17,3.13,960
Japan,JPN,AS,2018,36138.53,25.64,1292.57,54.77,2761.13,68.39,19.56,986.18,,-0.13,5.92,0.64,4582.8,2.47,923.23,3.76,922.23,177.27,3.22,3.08,987
Japan,JPN,AS,2019,36043.79,25.79,1319.92,54.55,2792.1,69.05,19.95,1020.79,,-0.14,5.89,-0.4,4564.3,2.35,893.78,-1.46,908.59,176.61,3.2,3.16,985
Japan,JPN,AS,2020,34603.27,25.26,1275.49,54.01,2726.76,68.95,21.0,1060.12,,-0.29,5.94,-4.28,4369.0,2.8,785.06,-11.59,798.65,150.03,3.26,3.42,963
Japan,JPN,AS,2021,35507.58,25.6,1281.36,53.51,2678.59,68.86,21.43,1072.49,,-0.46,6.04,2.14,4462.6,2.8,911.09,11.69,937.98,197.15,,,983
Japan,JPN,AS,2022,36032.39,,,,,68.93,,,,-0.44,6.13,1.03,4508.6,2.64,746.92,-0.180190761,897.24,90.96,,,932
Malaysia,MYS,AS,2017,10416.03,25.55,81.52,55.39,176.76,15.66,12.19,38.91,12.95,1.42,6.08,5.81,333.1,3.41,223.41,8.68,201.5,8.96,,4.68,68
Malaysia,MYS,AS,2018,10777.75,23.9,85.74,57.43,206.04,16.04,11.97,42.95,12.02,1.32,6.32,4.84,349.2,3.3,245.97,1.93,221.9,8.03,1.04,4.48,87
Malaysia,MYS,AS,2019,11114.54,21.05,76.86,59.77,218.27,16.44,11.65,42.55,11.94,1.24,5.34,4.41,364.6,3.26,238.38,-1.04,210.89,12.8,,4.16,130
Malaysia,MYS,AS,2020,10374.19,19.7,66.45,60.86,205.3,16.63,13.07,44.1,10.89,1.2,5.38,-5.53,344.4,4.54,207.8,-8.56,186.31,14.14,,3.92,248
Malaysia,MYS,AS,2021,10575.88,22.27,83.07,57.91,215.98,16.92,12.71,47.42,11.24,1.12,5.71,3.09,355.1,4.05,256.76,15.44,230.24,14.14,,,343
Malaysia,MYS,AS,2022,11371.97,23.89,97.05,57.6,234.02,17.31,11.59,47.09,,1.08,6.01,8.69,385.9,3.73,300.0,12.84,271.86,10.49,,,310
Mexico,MEX,,2017,9997.71,22.9,265.45,65.22,755.83,54.24,11.62,134.63,13.04,1.08,6.58,2.11,1228.1,3.42,436.35,4.16,457.36,-22.01,0.33,4.52,73
Mexico,MEX,,2018,10120.38,22.71,277.63,64.78,791.84,55.36,11.57,141.44,13.06,0.95,6.49,2.19,1255.1,3.27,479.89,6.0,504.88,-26.1,0.31,4.25,80
Mexico,MEX,,2019,10013.72,21.16,268.52,64.9,823.65,56.82,11.39,144.58,13.14,0.86,6.59,-0.2,1252.6,3.48,492.65,1.47,495.88,-5.58,0.28,,111
Mexico,MEX,,2020,9147.07,18.77,204.68,63.07,687.75,53.13,12.51,136.37,14.29,0.73,6.32,-7.99,1152.5,4.45,430.67,-7.3,408.35,22.79,0.3,,141
Mexico,MEX,,2021,9525.43,20.73,263.92,65.29,831.0,56.99,11.8,150.2,13.87,0.56,6.13,4.72,1206.9,4.09,523.16,7.09,545.28,-8.21,,,147
Mexico,MEX,,2022,9755.62,21.61,305.63,68.23,964.86,58.7,11.48,162.3,,0.63,6.33,3.06,1243.9,3.31,613.11,7.54,652.32,-13.42,,,133
Netherlands,NLD,EU,2017,46997.34,20.59,171.72,44.34,369.7,9.19,24.32,202.77,23.09,0.59,7.38,2.91,805.1,4.84,695.38,6.5,605.69,74.31,2.18,5.18,845
Netherlands,NLD,EU,2018,47826.82,20.96,191.56,44.13,403.37,9.31,24.37,222.74,23.06,0.58,7.44,2.36,824.1,3.83,774.04,4.33,677.67,85.14,2.14,5.36,810
Netherlands,NLD,EU,2019,48443.73,22.1,201.12,43.48,395.79,9.47,24.62,224.04,24.05,0.66,7.49,1.96,840.3,3.38,751.25,1.98,662.01,63.0,2.18,5.16,757
Netherlands,NLD,EU,2020,46303.22,21.76,197.94,42.12,383.2,9.5,26.06,237.05,24.37,0.56,7.46,-3.89,807.6,3.82,712.05,-4.33,620.45,46.79,2.29,5.3,744
Netherlands,NLD,EU,2021,48301.53,21.48,217.29,42.03,425.28,9.65,26.22,265.31,24.78,0.52,7.41,4.86,846.9,4.21,840.46,5.25,736.54,73.96,,,674
Netherlands,NLD,EU,2022,49979.85,21.43,212.43,43.69,433.0,9.9,25.45,252.27,,0.97,7.4,4.48,884.8,3.54,918.15,4.66,824.74,43.59,,,714
New Zealand,NZL,OC,2017,39751.61,23.66,48.87,57.46,118.69,2.74,17.92,37.01,27.33,2.09,7.31,3.52,191.3,4.74,56.99,3.55,55.0,-5.8,1.35,6.26,152
New Zealand,NZL,OC,2018,40422.35,23.96,50.78,57.85,122.58,2.79,18.23,38.62,27.48,1.79,7.32,3.53,198.1,4.33,59.07,2.83,59.17,-8.58,,6.05,168
New Zealand,NZL,OC,2019,40757.37,23.46,49.99,57.14,121.75,2.83,18.84,40.15,28.14,1.59,7.31,2.45,202.9,4.11,58.22,-0.25,57.67,-5.94,1.41,5.16,140
New Zealand,NZL,OC,2020,39607.88,23.39,49.73,56.88,120.92,2.89,20.49,43.56,27.39,2.2,7.28,-0.65,201.6,4.6,46.21,-17.63,47.26,-2.4,,5.98,141
New Zealand,NZL,OC,2021,41481.99,24.56,62.77,56.95,145.55,2.93,20.89,53.38,28.84,0.42,7.2,5.17,212.0,3.78,56.61,1.39,66.57,-14.8,,,137
New Zealand,NZL,OC,2022,42271.71,,,,,2.96,,,,0.25,7.12,2.16,216.6,3.25,45.65,-0.19360537,54.26,-21.26,,,122
Norway,NOR,EU,2017,76247.41,27.55,110.69,44.29,177.92,2.76,23.81,95.64,22.29,0.81,7.54,2.46,402.4,4.16,147.57,1.6,130.07,21.65,2.1,7.91,109
Norway,NOR,EU,2018,76373.65,27.73,121.94,42.72,187.88,2.8,23.11,101.65,23.31,0.66,7.59,0.83,405.7,3.8,168.09,-1.54,139.77,34.96,2.05,7.64,94
Norway,NOR,EU,2019,76712.29,29.61,121.03,43.9,179.43,2.83,24.1,98.52,23.28,0.68,7.55,1.12,410.2,3.69,149.77,2.12,140.01,11.92,2.15,7.94,96
Norway,NOR,EU,2020,75287.2,31.35,115.26,43.45,159.73,2.83,26.13,96.08,21.25,0.59,7.39,-1.28,405.0,4.42,118.42,-2.33,121.85,4.21,2.28,5.9,120
Norway,NOR,EU,2021,77805.01,25.6,125.5,38.39,188.23,2.91,23.08,113.18,25.75,0.53,7.37,3.9,420.8,4.37,204.64,5.81,141.25,66.25,,,95
